Area,MTU,YEAR,Solar,Wind Onshore,Country
France (FR),01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST),2015,0.0,1314.0,France
France (FR),01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST),2015,0.0,1383.0,France
France (FR),01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST),2015,0.0,1464.0,France
France (FR),01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST),2015,0.0,1543.0,France
France (FR),01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST),2015,0.0,1579.0,France
France (FR),01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST),2015,0.0,1482.0,France
France (FR),01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST),2015,0.0,1387.0,France
France (FR),01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST),2015,0.0,1583.0,France
France (FR),01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST),2015,59.0,1814.0,France
France (FR),01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST),2015,385.0,1936.0,France
France (FR),01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST),2015,1053.0,1927.0,France
France (FR),01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST),2015,1635.0,1846.0,France
France (FR),01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST),2015,1883.0,1768.0,France
France (FR),01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST),2015,1857.0,1715.0,France
France (FR),01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST),2015,1516.0,1693.0,France
France (FR),01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST),2015,911.0,1697.0,France
France (FR),01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST),2015,300.0,1938.0,France
France (FR),01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST),2015,39.0,2301.0,France
France (FR),01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST),2015,0.0,2672.0,France
France (FR),01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST),2015,0.0,3017.0,France
France (FR),01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST),2015,0.0,3289.0,France
France (FR),01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST),2015,0.0,3496.0,France
France (FR),01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST),2015,0.0,3619.0,France
France (FR),01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST),2015,0.0,3887.0,France
France (FR),02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST),2015,0.0,3971.0,France
France (FR),02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST),2015,0.0,4022.0,France
France (FR),02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST),2015,0.0,4034.0,France
France (FR),02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST),2015,0.0,4223.0,France
France (FR),02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST),2015,0.0,4433.0,France
France (FR),02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST),2015,0.0,4504.0,France
France (FR),02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST),2015,0.0,4490.0,France
France (FR),02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST),2015,0.0,4425.0,France
France (FR),02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST),2015,57.0,4247.0,France
France (FR),02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST),2015,331.0,3843.0,France
France (FR),02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST),2015,842.0,3518.0,France
France (FR),02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST),2015,1271.0,3270.0,France
France (FR),02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST),2015,1397.0,3083.0,France
France (FR),02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST),2015,1360.0,2771.0,France
France (FR),02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST),2015,1119.0,2381.0,France
France (FR),02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST),2015,639.0,2162.0,France
France (FR),02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST),2015,203.0,1877.0,France
France (FR),02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST),2015,36.0,1692.0,France
France (FR),02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST),2015,0.0,1605.0,France
