Area,MTU,YEAR,Solar,Wind Onshore,Country
Italy (IT),01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST),2016,0.0,203.0,Italy
Italy (IT),01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST),2016,1.0,218.0,Italy
Italy (IT),01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST),2016,0.0,267.0,Italy
Italy (IT),01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST),2016,0.0,227.0,Italy
Italy (IT),01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST),2016,0.0,212.0,Italy
Italy (IT),01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST),2016,0.0,223.0,Italy
Italy (IT),01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST),2016,0.0,213.0,Italy
Italy (IT),01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST),2016,49.0,206.0,Italy
Italy (IT),01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST),2016,576.0,188.0,Italy
Italy (IT),01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST),2016,1926.0,139.0,Italy
Italy (IT),01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST),2016,3271.0,106.0,Italy
Italy (IT),01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST),2016,4082.0,89.0,Italy
Italy (IT),01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST),2016,4245.0,83.0,Italy
Italy (IT),01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST),2016,3643.0,72.0,Italy
Italy (IT),01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST),2016,2344.0,80.0,Italy
Italy (IT),01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST),2016,1093.0,80.0,Italy
Italy (IT),01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST),2016,101.0,103.0,Italy
Italy (IT),01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST),2016,0.0,148.0,Italy
Italy (IT),01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST),2016,0.0,150.0,Italy
Italy (IT),01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST),2016,0.0,161.0,Italy
Italy (IT),01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST),2016,0.0,171.0,Italy
Italy (IT),01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST),2016,1.0,197.0,Italy
Italy (IT),01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST),2016,1.0,239.0,Italy
Italy (IT),01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST),2016,1.0,315.0,Italy
Italy (IT),02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST),2016,0.0,287.0,Italy
Italy (IT),02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST),2016,0.0,383.0,Italy
Italy (IT),02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST),2016,0.0,425.0,Italy
Italy (IT),02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST),2016,0.0,486.0,Italy
Italy (IT),02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST),2016,0.0,560.0,Italy
Italy (IT),02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST),2016,0.0,569.0,Italy
Italy (IT),02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST),2016,0.0,587.0,Italy
Italy (IT),02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST),2016,26.0,738.0,Italy
Italy (IT),02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST),2016,390.0,914.0,Italy
Italy (IT),02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST),2016,1059.0,902.0,Italy
Italy (IT),02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST),2016,1346.0,1289.0,Italy
Italy (IT),02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST),2016,1468.0,1681.0,Italy
Italy (IT),02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST),2016,1467.0,1951.0,Italy
Italy (IT),02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST),2016,1318.0,2211.0,Italy
Italy (IT),02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST),2016,666.0,2377.0,Italy
Italy (IT),02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST),2016,319.0,2502.0,Italy
Italy (IT),02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST),2016,64.0,2648.0,Italy
Italy (IT),02.01.2016 17:00 - 02.01.2016 18:00 (CET/CEST),2016,29.0,2979.0,Italy
Italy (IT),02.01.2016 18:00 - 02.01.2016 19:00 (CET/CEST),2016,29.0,3291.0,Italy
Italy (IT),02.01.2016 19:00 - 02.01.2016 20:00 (CET/CEST),2016,29.0,3518.0,Italy
Italy (IT),02.01.2016 20:00 - 02.01.2016 21:00 (CET/CEST),2016,29.0,3678.0,Italy
Italy (IT),02.01.2016 21:00 - 02.01.2016 22:00 (CET/CEST),2016,29.0,3933.0,Italy
Italy (IT),02.01.2016 22:00 - 02.01.2016 23:00 (CET/CEST),2016,29.0,4049.0,Italy
Italy (IT),02.01.2016 23:00 - 03.01.2016 00:00 (CET/CEST),2016,29.0,4145.0,Italy
Italy (IT),03.01.2016 00:00 - 03.01.2016 01:00 (CET/CEST),2016,0.0,4293.0,Italy
Italy (IT),03.01.2016 01:00 - 03.01.2016 02:00 (CET/CEST),2016,0.0,4187.0,Italy
Italy (IT),03.01.2016 02:00 - 03.01.2016 03:00 (CET/CEST),2016,0.0,3723.0,Italy
Italy (IT),03.01.2016 03:00 - 03.01.2016 04:00 (CET/CEST),2016,0.0,3983.0,Italy
Italy (IT),03.01.2016 04:00 - 03.01.2016 05:00 (CET/CEST),2016,0.0,3857.0,Italy
Italy (IT),03.01.2016 05:00 - 03.01.2016 06:00 (CET/CEST),2016,0.0,3806.0,Italy
Italy (IT),03.01.2016 06:00 - 03.01.2016 07:00 (CET/CEST),2016,0.0,3855.0,Italy
Italy (IT),03.01.2016 07:00 - 03.01.2016 08:00 (CET/CEST),2016,3.0,3916.0,Italy
Italy (IT),03.01.2016 08:00 - 03.01.2016 09:00 (CET/CEST),2016,378.0,4096.0,Italy
Italy (IT),03.01.2016 09:00 - 03.01.2016 10:00 (CET/CEST),2016,1348.0,4069.0,Italy
Italy (IT),03.01.2016 10:00 - 03.01.2016 11:00 (CET/CEST),2016,2339.0,4154.0,Italy
Italy (IT),03.01.2016 11:00 - 03.01.2016 12:00 (CET/CEST),2016,3729.0,4512.0,Italy
Italy (IT),03.01.2016 12:00 - 03.01.2016 13:00 (CET/CEST),2016,3994.0,5253.0,Italy
