Area,MTU,YEAR,Solar,Wind Onshore,Country
Spain (ES),01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST),2015,49.0,6378.0,Spain
Spain (ES),01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST),2015,50.0,5890.0,Spain
Spain (ES),01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST),2015,50.0,5461.0,Spain
Spain (ES),01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST),2015,50.0,5238.0,Spain
Spain (ES),01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST),2015,42.0,4935.0,Spain
Spain (ES),01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST),2015,34.0,4618.0,Spain
Spain (ES),01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST),2015,34.0,4397.0,Spain
Spain (ES),01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST),2015,35.0,3992.0,Spain
Spain (ES),01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST),2015,54.0,3629.0,Spain
Spain (ES),01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST),2015,743.0,3073.0,Spain
Spain (ES),01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST),2015,2019.0,2683.0,Spain
Spain (ES),01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST),2015,3197.0,2771.0,Spain
Spain (ES),01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST),2015,3885.0,2906.0,Spain
Spain (ES),01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST),2015,4007.0,2923.0,Spain
Spain (ES),01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST),2015,3973.0,2945.0,Spain
Spain (ES),01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST),2015,3818.0,2709.0,Spain
Spain (ES),01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST),2015,3088.0,2552.0,Spain
Spain (ES),01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST),2015,1467.0,2699.0,Spain
Spain (ES),01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST),2015,404.0,2764.0,Spain
Spain (ES),01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST),2015,139.0,2913.0,Spain
Spain (ES),01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST),2015,100.0,3118.0,Spain
Spain (ES),01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST),2015,75.0,3373.0,Spain
Spain (ES),01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST),2015,74.0,3508.0,Spain
Spain (ES),01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST),2015,56.0,3527.0,Spain
Spain (ES),02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST),2015,48.0,3360.0,Spain
Spain (ES),02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST),2015,49.0,3088.0,Spain
Spain (ES),02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST),2015,48.0,3014.0,Spain
Spain (ES),02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST),2015,48.0,2821.0,Spain
Spain (ES),02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST),2015,47.0,2928.0,Spain
Spain (ES),02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST),2015,47.0,3119.0,Spain
Spain (ES),02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST),2015,47.0,3157.0,Spain
Spain (ES),02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST),2015,48.0,3289.0,Spain
Spain (ES),02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST),2015,73.0,3102.0,Spain
Spain (ES),02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST),2015,809.0,2838.0,Spain
Spain (ES),02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST),2015,1981.0,2272.0,Spain
Spain (ES),02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST),2015,3082.0,1795.0,Spain
Spain (ES),02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST),2015,3817.0,1413.0,Spain
Spain (ES),02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST),2015,3836.0,1347.0,Spain
Spain (ES),02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST),2015,3701.0,1345.0,Spain
Spain (ES),02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST),2015,3475.0,1487.0,Spain
Spain (ES),02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST),2015,2742.0,1648.0,Spain
Spain (ES),02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST),2015,1281.0,1857.0,Spain
Spain (ES),02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST),2015,328.0,1864.0,Spain
Spain (ES),02.01.2015 19:00 - 02.01.2015 20:00 (CET/CEST),2015,161.0,1813.0,Spain
Spain (ES),02.01.2015 20:00 - 02.01.2015 21:00 (CET/CEST),2015,124.0,1731.0,Spain
Spain (ES),02.01.2015 21:00 - 02.01.2015 22:00 (CET/CEST),2015,86.0,1816.0,Spain
Spain (ES),02.01.2015 22:00 - 02.01.2015 23:00 (CET/CEST),2015,62.0,1960.0,Spain
Spain (ES),02.01.2015 23:00 - 03.01.2015 00:00 (CET/CEST),2015,62.0,1912.0,Spain
Spain (ES),03.01.2015 00:00 - 03.01.2015 01:00 (CET/CEST),2015,62.0,1854.0,Spain
Spain (ES),03.01.2015 01:00 - 03.01.2015 02:00 (CET/CEST),2015,62.0,1982.0,Spain
Spain (ES),03.01.2015 02:00 - 03.01.2015 03:00 (CET/CEST),2015,62.0,2221.0,Spain
Spain (ES),03.01.2015 03:00 - 03.01.2015 04:00 (CET/CEST),2015,62.0,2383.0,Spain
Spain (ES),03.01.2015 04:00 - 03.01.2015 05:00 (CET/CEST),2015,60.0,2611.0,Spain
Spain (ES),03.01.2015 05:00 - 03.01.2015 06:00 (CET/CEST),2015,60.0,2793.0,Spain
Spain (ES),03.01.2015 06:00 - 03.01.2015 07:00 (CET/CEST),2015,60.0,3042.0,Spain
Spain (ES),03.01.2015 07:00 - 03.01.2015 08:00 (CET/CEST),2015,61.0,3246.0,Spain
Spain (ES),03.01.2015 08:00 - 03.01.2015 09:00 (CET/CEST),2015,85.0,3297.0,Spain
Spain (ES),03.01.2015 09:00 - 03.01.2015 10:00 (CET/CEST),2015,810.0,3469.0,Spain
Spain (ES),03.01.2015 10:00 - 03.01.2015 11:00 (CET/CEST),2015,2101.0,3409.0,Spain
Spain (ES),03.01.2015 11:00 - 03.01.2015 12:00 (CET/CEST),2015,3247.0,3167.0,Spain
Spain (ES),03.01.2015 12:00 - 03.01.2015 13:00 (CET/CEST),2015,3903.0,2952.0,Spain
Spain (ES),03.01.2015 13:00 - 03.01.2015 14:00 (CET/CEST),2015,3942.0,3134.0,Spain
Spain (ES),03.01.2015 14:00 - 03.01.2015 15:00 (CET/CEST),2015,3884.0,3403.0,Spain
Spain (ES),03.01.2015 15:00 - 03.01.2015 16:00 (CET/CEST),2015,3752.0,3594.0,Spain
Spain (ES),03.01.2015 16:00 - 03.01.2015 17:00 (CET/CEST),2015,3051.0,3875.0,Spain
Spain (ES),03.01.2015 17:00 - 03.01.2015 18:00 (CET/CEST),2015,1476.0,4392.0,Spain
Spain (ES),03.01.2015 18:00 - 03.01.2015 19:00 (CET/CEST),2015,402.0,4841.0,Spain
Spain (ES),03.01.2015 19:00 - 03.01.2015 20:00 (CET/CEST),2015,121.0,4963.0,Spain
Spain (ES),03.01.2015 20:00 - 03.01.2015 21:00 (CET/CEST),2015,91.0,5073.0,Spain
Spain (ES),03.01.2015 21:00 - 03.01.2015 22:00 (CET/CEST),2015,68.0,5205.0,Spain
Spain (ES),03.01.2015 22:00 - 03.01.2015 23:00 (CET/CEST),2015,68.0,5121.0,Spain
Spain (ES),03.01.2015 23:00 - 04.01.2015 00:00 (CET/CEST),2015,68.0,5115.0,Spain
Spain (ES),04.01.2015 00:00 - 04.01.2015 01:00 (CET/CEST),2015,67.0,5185.0,Spain
