Area,MTU,DATETIME,YEAR,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
France (FR),01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST),01.01.2015 00:00,2015,193.0,n/e,n/e,2823.0,2025.0,274.0,n/e,n/e,n/e,9.0,,4426.0,4555.0,n/e,57633.0,n/e,n/e,0.0,284.0,n/e,1314.0
France (FR),01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST),01.01.2015 01:00,2015,193.0,n/e,n/e,2515.0,1577.0,274.0,n/e,n/e,n/e,11.0,,4229.0,3732.0,n/e,57945.0,n/e,n/e,0.0,281.0,n/e,1383.0
France (FR),01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST),01.01.2015 02:00,2015,193.0,n/e,n/e,2452.0,1416.0,273.0,n/e,n/e,n/e,14.0,,4007.0,3046.0,n/e,57652.0,n/e,n/e,0.0,281.0,n/e,1464.0
France (FR),01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST),01.01.2015 03:00,2015,193.0,n/e,n/e,2345.0,1132.0,274.0,n/e,n/e,n/e,326.0,,3787.0,1726.0,n/e,57583.0,n/e,n/e,0.0,282.0,n/e,1543.0
France (FR),01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST),01.01.2015 04:00,2015,193.0,n/e,n/e,2344.0,770.0,276.0,n/e,n/e,n/e,1488.0,,3654.0,810.0,n/e,57551.0,n/e,n/e,0.0,281.0,n/e,1579.0
France (FR),01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST),01.01.2015 05:00,2015,193.0,n/e,n/e,2340.0,861.0,277.0,n/e,n/e,n/e,2361.0,,3594.0,1090.0,n/e,57465.0,n/e,n/e,0.0,277.0,n/e,1482.0
France (FR),01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST),01.01.2015 06:00,2015,193.0,n/e,n/e,2318.0,1067.0,277.0,n/e,n/e,n/e,2131.0,,3416.0,1269.0,n/e,57683.0,n/e,n/e,0.0,279.0,n/e,1387.0
France (FR),01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST),01.01.2015 07:00,2015,194.0,n/e,n/e,2357.0,1083.0,276.0,n/e,n/e,n/e,2096.0,,3283.0,1086.0,n/e,57384.0,n/e,n/e,0.0,278.0,n/e,1583.0
France (FR),01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST),01.01.2015 08:00,2015,198.0,n/e,n/e,2385.0,965.0,277.0,n/e,n/e,n/e,2534.0,,3472.0,916.0,n/e,56839.0,n/e,n/e,59.0,275.0,n/e,1814.0
France (FR),01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST),01.01.2015 09:00,2015,205.0,n/e,n/e,2382.0,984.0,279.0,n/e,n/e,n/e,2741.0,,3681.0,803.0,n/e,57017.0,n/e,n/e,385.0,274.0,n/e,1936.0
France (FR),01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST),01.01.2015 10:00,2015,205.0,n/e,n/e,2364.0,1091.0,278.0,n/e,n/e,n/e,2221.0,,3798.0,819.0,n/e,57458.0,n/e,n/e,1053.0,276.0,n/e,1927.0
France (FR),01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST),01.01.2015 11:00,2015,204.0,n/e,n/e,2355.0,1052.0,278.0,n/e,n/e,n/e,1629.0,,3889.0,1095.0,n/e,57479.0,n/e,n/e,1635.0,278.0,n/e,1846.0
France (FR),01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST),01.01.2015 12:00,2015,204.0,n/e,n/e,2352.0,1052.0,275.0,n/e,n/e,n/e,1300.0,,4007.0,1699.0,n/e,57840.0,n/e,n/e,1883.0,277.0,n/e,1768.0
France (FR),01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST),01.01.2015 13:00,2015,204.0,n/e,n/e,2343.0,1008.0,273.0,n/e,n/e,n/e,626.0,,3718.0,960.0,n/e,57501.0,n/e,n/e,1857.0,274.0,n/e,1715.0
France (FR),01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST),01.01.2015 14:00,2015,204.0,n/e,n/e,2330.0,998.0,274.0,n/e,n/e,n/e,1389.0,,3483.0,610.0,n/e,57133.0,n/e,n/e,1516.0,278.0,n/e,1693.0
France (FR),01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST),01.01.2015 15:00,2015,204.0,n/e,n/e,2324.0,1038.0,276.0,n/e,n/e,n/e,2645.0,,3418.0,598.0,n/e,57388.0,n/e,n/e,911.0,277.0,n/e,1697.0
France (FR),01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST),01.01.2015 16:00,2015,205.0,n/e,n/e,2319.0,1093.0,276.0,n/e,n/e,n/e,2140.0,,3378.0,660.0,n/e,57643.0,n/e,n/e,300.0,278.0,n/e,1938.0
France (FR),01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST),01.01.2015 17:00,2015,205.0,n/e,n/e,2350.0,1176.0,275.0,n/e,n/e,n/e,251.0,,3678.0,3006.0,n/e,58011.0,n/e,n/e,39.0,279.0,n/e,2301.0
France (FR),01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST),01.01.2015 18:00,2015,205.0,n/e,n/e,2363.0,1162.0,274.0,n/e,n/e,n/e,15.0,,4530.0,5744.0,n/e,58080.0,n/e,n/e,0.0,278.0,n/e,2672.0
France (FR),01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST),01.01.2015 19:00,2015,205.0,n/e,n/e,2358.0,1233.0,274.0,n/e,n/e,n/e,1.0,,4926.0,6382.0,n/e,58246.0,n/e,n/e,0.0,279.0,n/e,3017.0
France (FR),01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST),01.01.2015 20:00,2015,205.0,n/e,n/e,2397.0,1202.0,274.0,n/e,n/e,n/e,1.0,,4817.0,5380.0,n/e,58257.0,n/e,n/e,0.0,281.0,n/e,3289.0
