Area,MTU,DATETIME,YEAR,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Italy (IT),01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST),01.01.2016 00:00,2016,220.0,n/e,241.0,5588.0,1686.0,542.0,n/e,n/e,706.0,0.0,26.0,1259.0,287.0,n/e,n/e,9112.0,n/e,0.0,45.0,n/e,203.0
Italy (IT),01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST),01.01.2016 01:00,2016,216.0,n/e,241.0,5034.0,1719.0,519.0,n/e,n/e,706.0,0.0,39.0,1163.0,81.0,n/e,n/e,9324.0,n/e,1.0,46.0,n/e,218.0
Italy (IT),01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST),01.01.2016 02:00,2016,217.0,n/e,241.0,4486.0,1728.0,530.0,n/e,n/e,706.0,0.0,62.0,1089.0,20.0,n/e,n/e,8739.0,n/e,0.0,44.0,n/e,267.0
Italy (IT),01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST),01.01.2016 03:00,2016,216.0,n/e,241.0,4275.0,1727.0,467.0,n/e,n/e,705.0,0.0,439.0,1010.0,20.0,n/e,n/e,8195.0,n/e,0.0,39.0,n/e,227.0
Italy (IT),01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST),01.01.2016 04:00,2016,215.0,n/e,241.0,3926.0,1658.0,426.0,n/e,n/e,707.0,0.0,534.0,988.0,20.0,n/e,n/e,7876.0,n/e,0.0,44.0,n/e,212.0
Italy (IT),01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST),01.01.2016 05:00,2016,215.0,n/e,241.0,3934.0,1658.0,407.0,n/e,n/e,706.0,0.0,528.0,1001.0,24.0,n/e,n/e,7744.0,n/e,0.0,41.0,n/e,223.0
Italy (IT),01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST),01.01.2016 06:00,2016,213.0,n/e,241.0,4256.0,1595.0,459.0,n/e,n/e,706.0,0.0,525.0,1057.0,36.0,n/e,n/e,7885.0,n/e,0.0,43.0,n/e,213.0
Italy (IT),01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST),01.01.2016 07:00,2016,256.0,n/e,241.0,4275.0,1685.0,490.0,n/e,n/e,707.0,0.0,487.0,1123.0,80.0,n/e,n/e,7966.0,n/e,49.0,40.0,n/e,206.0
Italy (IT),01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST),01.01.2016 08:00,2016,256.0,n/e,241.0,3867.0,1661.0,492.0,n/e,n/e,706.0,0.0,671.0,1272.0,138.0,n/e,n/e,7988.0,n/e,576.0,40.0,n/e,188.0
Italy (IT),01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST),01.01.2016 09:00,2016,256.0,n/e,241.0,3778.0,1670.0,544.0,n/e,n/e,707.0,0.0,818.0,1288.0,124.0,n/e,n/e,8308.0,n/e,1926.0,42.0,n/e,139.0
Italy (IT),01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST),01.01.2016 10:00,2016,256.0,n/e,241.0,3875.0,1731.0,539.0,n/e,n/e,707.0,0.0,671.0,1181.0,114.0,n/e,n/e,8335.0,n/e,3271.0,41.0,n/e,106.0
Italy (IT),01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST),01.01.2016 11:00,2016,254.0,n/e,241.0,4051.0,1704.0,541.0,n/e,n/e,705.0,0.0,659.0,1111.0,102.0,n/e,n/e,8582.0,n/e,4082.0,40.0,n/e,89.0
Italy (IT),01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST),01.01.2016 12:00,2016,255.0,n/e,241.0,4274.0,1729.0,538.0,n/e,n/e,704.0,0.0,420.0,1078.0,64.0,n/e,n/e,8889.0,n/e,4245.0,39.0,n/e,83.0
Italy (IT),01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST),01.01.2016 13:00,2016,257.0,n/e,241.0,4115.0,1725.0,482.0,n/e,n/e,705.0,0.0,422.0,1021.0,49.0,n/e,n/e,8485.0,n/e,3643.0,42.0,n/e,72.0
